DayOfWeek,drug_usage,PatientCount,isHoliday,Date,emergency_cases
5,7985,639,0,2001-02-11,34
5,7235,641,0,2001-02-12,8
5,7959,878,0,2001-02-13,38
5,12977,882,0,2001-02-14,22
5,12027,755,0,2001-02-15,47
5,10228,1110,0,2001-02-16,25
5,7805,547,0,2001-02-17,37
5,7713,583,0,2001-02-18,41
5,13376,1425,0,2001-02-19,56
5,9051,835,0,2001-02-20,18
5,8180,801,0,2001-02-21,58
5,8159,1030,0,2001-02-22,44
5,6377,516,0,2001-02-23,34
5,14471,1288,0,2001-02-24,9
5,5018,458,0,2001-02-25,16
5,13331,2213,0,2001-02-26,36
5,10141,930,0,2001-02-27,43
5,4744,560,0,2001-02-28,53
5,5535,667,0,2001-03-01,21
5,10228,880,0,2001-03-02,34
5,7940,635,0,2001-03-03,12
5,6999,523,0,2001-03-04,45
5,11246,868,0,2001-03-05,59
5,12369,1045,0,2001-03-06,35
5,13988,1795,0,2001-03-07,41
5,8970,904,0,2001-03-08,8
5,12333,767,0,2001-03-09,25
5,3142,388,0,2001-03-10,15
5,7465,731,0,2001-03-11,17
5,9287,847,0,2001-03-12,37
5,6736,614,0,2001-03-13,41
5,8562,930,0,2001-03-14,51
5,8230,839,0,2001-03-15,31
5,8718,847,0,2001-03-16,8
5,7478,637,0,2001-03-17,34
5,7056,566,0,2001-03-18,51
5,14441,1573,0,2001-03-19,28
5,11042,1627,0,2001-03-20,43
5,7952,816,0,2001-03-21,47
5,5700,614,0,2001-03-22,32
5,8924,786,0,2001-03-23,45
5,13829,1583,0,2001-03-24,18
5,10830,1096,0,2001-03-25,56
5,6628,514,0,2001-03-26,27
5,7541,642,0,2001-03-27,41
5,13328,1553,0,2001-03-28,17
5,8073,887,0,2001-03-29,19
5,9743,566,0,2001-03-30,46
5,7183,935,0,2001-03-31,28
5,7040,555,0,2001-04-01,26
5,9276,779,0,2001-04-02,33
5,13873,1450,0,2001-04-03,21
5,5538,541,0,2001-04-04,20
5,6252,567,0,2001-04-05,13
5,5518,637,0,2001-04-06,48
5,6403,880,0,2001-04-07,33
5,11967,1271,0,2001-04-08,34
5,10130,717,0,2001-04-09,39
5,9329,914,0,2001-04-10,57
5,17208,1761,0,2001-04-11,23
5,8281,804,0,2001-04-12,35
5,16964,1868,0,2001-04-13,5
5,15098,1835,0,2001-04-14,26
5,9116,703,0,2001-04-15,47
5,7981,783,0,2001-04-16,11
5,4267,511,0,2001-04-17,20
5,9034,825,0,2001-04-18,34
5,6834,1024,0,2001-04-19,34
5,7562,748,0,2001-04-20,58
5,7885,533,0,2001-04-21,6
5,10068,870,0,2001-04-22,51
5,16699,1687,0,2001-04-23,8
5,6233,720,0,2001-04-24,55
5,8419,651,0,2001-04-25,15
5,9814,974,0,2001-04-26,50
5,6200,712,0,2001-04-27,26
5,10638,878,0,2001-04-28,15
5,6914,554,0,2001-04-29,17
5,6225,661,0,2001-04-30,22
5,9624,828,0,2001-05-01,40
5,4184,401,0,2001-05-02,34
5,9010,748,0,2001-05-03,30
5,9184,1129,0,2001-05-04,46
5,9951,625,0,2001-05-05,8
5,10485,1341,0,2001-05-06,37
5,11090,933,0,2001-05-07,11
5,9970,1202,0,2001-05-08,8
5,6995,492,0,2001-05-09,23
5,10834,926,0,2001-05-10,15
5,11353,1248,0,2001-05-11,53
5,7685,903,0,2001-05-12,35
5,7716,922,0,2001-05-13,56
5,7364,505,0,2001-05-14,54
5,6626,684,0,2001-05-15,23
5,15473,1820,0,2001-05-16,5
5,9654,609,0,2001-05-17,59
5,10679,1117,0,2001-05-18,25
5,7087,734,0,2001-05-19,10
5,11162,1039,0,2001-05-20,12
5,10706,726,0,2001-05-21,30
5,11201,970,0,2001-05-22,16
5,8130,576,0,2001-05-23,11
5,11537,951,0,2001-05-24,49
5,7376,846,0,2001-05-25,23
5,8548,1812,0,2001-05-26,31
5,19959,2177,0,2001-05-27,51
5,7568,707,0,2001-05-28,15
5,12823,871,0,2001-05-29,43
5,7303,833,0,2001-05-30,16
5,7755,769,0,2001-05-31,40
5,8027,590,0,2001-06-01,51
5,8175,719,0,2001-06-02,43
5,5170,512,0,2001-06-03,17
5,8340,567,0,2001-06-04,31
5,11473,797,0,2001-06-05,17
5,15349,1625,0,2001-06-06,16
5,11966,1049,0,2001-06-07,14
5,10461,893,0,2001-06-08,59
5,11006,1434,0,2001-06-09,37
5,14510,1162,0,2001-06-10,40
5,14384,1166,0,2001-06-11,52
5,11283,913,0,2001-06-12,33
5,9561,1438,0,2001-06-13,17
5,5374,584,0,2001-06-14,37
5,10981,1236,0,2001-06-15,14
5,15364,1306,0,2001-06-16,40
5,10914,723,0,2001-06-17,8
5,8794,947,0,2001-06-18,59
5,13528,1209,0,2001-06-19,22
5,8220,743,0,2001-06-20,15
5,4509,567,0,2001-06-21,58
5,14009,1271,0,2001-06-22,30
5,8908,517,0,2001-06-23,54
5,9015,971,0,2001-06-24,21
5,6598,568,0,2001-06-25,15
5,3377,274,0,2001-06-26,43
5,17626,2050,0,2001-06-27,52
5,15112,1191,0,2001-06-28,35
5,14468,1617,0,2001-06-29,14
5,6818,510,0,2001-06-30,53
5,5101,381,0,2001-07-01,43
5,6023,650,0,2001-07-02,15
5,6482,491,0,2001-07-03,5
5,11632,1278,0,2001-07-04,59
5,8985,784,0,2001-07-05,54
5,9736,785,0,2001-07-06,58
5,5927,654,0,2001-07-07,10
5,5886,504,0,2001-07-08,33
5,9036,898,0,2001-07-09,58
5,5417,752,0,2001-07-10,14
5,4376,528,0,2001-07-11,43
5,9950,1053,0,2001-07-12,42
5,18197,1922,0,2001-07-13,25
5,9522,807,0,2001-07-14,55
5,20303,3255,0,2001-07-15,24
5,5754,672,0,2001-07-16,20
5,5924,540,0,2001-07-17,27
5,8283,906,0,2001-07-18,42
5,7202,690,0,2001-07-19,15
5,8601,854,0,2001-07-20,59
5,6660,472,0,2001-07-21,19
5,4680,620,0,2001-07-22,17
5,6102,804,0,2001-07-23,54
5,10677,677,0,2001-07-24,43
5,8531,657,0,2001-07-25,40
5,4806,391,0,2001-07-26,27
5,11592,720,0,2001-07-27,27
5,7826,650,0,2001-07-28,33
5,9123,1072,0,2001-07-29,53
5,7292,679,0,2001-07-30,27
5,13399,1225,0,2001-07-31,47
5,9654,991,0,2001-08-01,48
5,12253,1665,0,2001-08-02,56
5,6455,645,0,2001-08-03,24
5,7463,893,0,2001-08-04,33
5,5602,530,0,2001-08-05,40
5,6487,505,0,2001-08-06,8
5,8122,972,0,2001-08-07,54
5,17879,2501,0,2001-08-08,39
5,12025,788,0,2001-08-09,47
5,8256,823,0,2001-08-10,7
5,8001,681,0,2001-08-11,22
5,7250,494,0,2001-08-12,38
5,8600,641,0,2001-08-13,18
5,5226,585,0,2001-08-14,31
5,11333,1375,0,2001-08-15,12
5,5288,539,0,2001-08-16,24
5,18690,1899,0,2001-08-17,32
5,6268,882,0,2001-08-18,20
5,6990,873,0,2001-08-19,37
5,6675,763,0,2001-08-20,44
5,11417,960,0,2001-08-21,27
5,12377,898,0,2001-08-22,40
5,6153,441,0,2001-08-23,32
5,7701,635,0,2001-08-24,57
5,9432,1161,0,2001-08-25,55
5,8422,614,0,2001-08-26,9
5,9969,662,0,2001-08-27,20
5,7187,663,0,2001-08-28,44
5,5555,637,0,2001-08-29,21
5,12554,1126,0,2001-08-30,17
5,5896,588,0,2001-08-31,20
5,4209,523,0,2001-09-01,54
5,6686,531,0,2001-09-02,14
5,8161,493,0,2001-09-03,31
5,6778,954,0,2001-09-04,31
5,7698,1069,0,2001-09-05,5
5,10520,1225,0,2001-09-06,48
5,11786,957,0,2001-09-07,40
5,8259,732,0,2001-09-08,18
5,9397,618,0,2001-09-09,5
5,7384,614,0,2001-09-10,37
5,12074,937,0,2001-09-11,52
5,7296,870,0,2001-09-12,14
5,6306,540,0,2001-09-13,57
5,9636,1045,0,2001-09-14,45
5,8847,746,0,2001-09-15,48
5,6887,702,0,2001-09-16,52
5,12025,974,0,2001-09-17,35
5,8837,746,0,2001-09-18,22
5,11777,1091,0,2001-09-19,52
5,6769,590,0,2001-09-20,7
5,7544,801,0,2001-09-21,40
5,7428,765,0,2001-09-22,43
5,9461,1053,0,2001-09-23,27
5,6929,530,0,2001-09-24,15
5,7968,775,0,2001-09-25,19
5,8541,791,0,2001-09-26,10
5,10764,1027,0,2001-09-27,13
5,12730,893,0,2001-09-28,26
5,8103,624,0,2001-09-29,12
5,5620,528,0,2001-09-30,56
5,15013,936,0,2001-10-01,15
5,6889,567,0,2001-10-02,52
5,3671,420,0,2001-10-03,12
5,13143,1312,0,2001-10-04,24
5,11956,1189,0,2001-10-05,36
5,18933,1817,0,2001-10-06,57
5,6016,817,0,2001-10-07,12
5,10460,932,0,2001-10-08,7
5,7947,620,0,2001-10-09,44
5,5012,486,0,2001-10-10,22
5,7509,743,0,2001-10-11,37
5,8687,992,0,2001-10-12,29
5,10050,884,0,2001-10-13,39
5,7979,605,0,2001-10-14,59
5,8466,770,0,2001-10-15,28
5,11906,861,0,2001-10-16,7
5,4576,465,0,2001-10-17,11
5,9654,919,0,2001-10-18,41
5,7323,669,0,2001-10-19,16
5,6615,690,0,2001-10-20,50
5,6992,652,0,2001-10-21,34
5,7541,570,0,2001-10-22,15
5,10711,858,0,2001-10-23,20
5,8088,949,0,2001-10-24,51
5,8330,823,0,2001-10-25,24
5,9455,1365,0,2001-10-26,35
5,9706,778,0,2001-10-27,31
5,11985,971,0,2001-10-28,29
5,11554,1278,0,2001-10-29,39
5,6266,501,0,2001-10-30,31
5,9980,922,0,2001-10-31,11
5,9063,818,0,2001-11-01,22
5,10145,1437,0,2001-11-02,35
5,11620,810,0,2001-11-03,50
5,12593,1387,0,2001-11-04,41
5,4350,421,0,2001-11-05,35
5,9974,1943,0,2001-11-06,35
5,10087,718,0,2001-11-07,57
5,11960,1024,0,2001-11-08,10
5,11868,1188,0,2001-11-09,59
5,7144,887,0,2001-11-10,19
5,4833,564,0,2001-11-11,21
5,13979,2013,0,2001-11-12,59
5,10439,981,0,2001-11-13,38
5,10159,790,0,2001-11-14,47
5,7633,685,0,2001-11-15,42
5,7542,824,0,2001-11-16,43
5,10471,818,0,2001-11-17,46
5,5107,469,0,2001-11-18,23
5,7729,785,0,2001-11-19,13
5,7070,898,0,2001-11-20,10
5,9780,668,0,2001-11-21,14
5,7496,801,0,2001-11-22,53
5,8040,571,0,2001-11-23,6
5,10257,893,0,2001-11-24,57
5,6695,565,0,2001-11-25,56
5,14308,1277,0,2001-11-26,54
5,14464,1150,0,2001-11-27,26
5,18308,1974,0,2001-11-28,9
5,11449,1219,0,2001-11-29,8
5,5849,646,0,2001-11-30,24
5,8547,755,0,2001-12-01,25
5,6268,488,0,2001-12-02,15
5,3648,358,0,2001-12-03,10
5,12620,1184,0,2001-12-04,26
5,12450,1185,0,2001-12-05,11
5,7797,630,0,2001-12-06,22
5,13989,1359,0,2001-12-07,14
5,7224,630,0,2001-12-08,6
5,10489,1221,0,2001-12-09,57
5,6278,489,0,2001-12-10,26
5,7799,548,0,2001-12-11,25
5,7421,653,0,2001-12-12,25
5,12233,1306,0,2001-12-13,24
5,7645,509,0,2001-12-14,10
5,9547,901,0,2001-12-15,59
5,7561,543,0,2001-12-16,17
5,7599,674,0,2001-12-17,35
5,8763,913,0,2001-12-18,23
5,6972,568,0,2001-12-19,55
5,11260,879,0,2001-12-20,56
5,9969,823,0,2001-12-21,40
5,9349,1396,0,2001-12-22,52
5,12047,787,0,2001-12-23,31
5,8328,780,0,2001-12-24,45
5,7294,642,0,2001-12-25,22
5,13962,1192,0,2001-12-26,13
5,6345,524,0,2001-12-27,52
5,6996,542,0,2001-12-28,11
5,14730,1279,0,2001-12-29,59
5,8831,979,0,2001-12-30,31
5,10773,943,0,2001-12-31,53
5,10919,1150,0,2002-01-01,48
5,16625,3644,0,2002-01-02,48
5,6829,582,0,2002-01-03,40
5,7530,594,0,2002-01-04,32
5,5942,541,0,2002-01-05,14
5,10548,1232,0,2002-01-06,36
5,9504,749,0,2002-01-07,36
5,12150,928,0,2002-01-08,45
5,10085,672,0,2002-01-09,16
5,11253,1137,0,2002-01-10,46
5,10460,1016,0,2002-01-11,9
5,5085,501,0,2002-01-12,17
5,8663,943,0,2002-01-13,25
5,8363,746,0,2002-01-14,55
5,9082,638,0,2002-01-15,49
5,10708,826,0,2002-01-16,44
5,7481,578,0,2002-01-17,58
5,6612,716,0,2002-01-18,8
5,6395,499,0,2002-01-19,29
5,4844,539,0,2002-01-20,15
5,7763,565,0,2002-01-21,49
5,9303,767,0,2002-01-22,18
5,8920,927,0,2002-01-23,48
5,12426,995,0,2002-01-24,27
5,25280,2901,0,2002-01-25,33
5,9343,684,0,2002-01-26,35
5,6230,725,0,2002-01-27,27
5,11253,1005,0,2002-01-28,44
5,8350,1258,0,2002-01-29,47
5,12761,1203,0,2002-01-30,26
5,6647,532,0,2002-01-31,58
5,8022,658,0,2002-02-01,43
